Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

N11-057             074.064499  -66.461525  14.130  14.185  14.163  13.887  13.794  13.776  13.722  13.755  13.675  13.798  99.999  A0 II                           
N11-021             074.127419  -66.302391  13.565  13.394  13.266  12.838  12.572  12.455  12.434  12.306  12.261  12.095  99.999  A7 II                           
Sk -66 58           076.300919  -66.736832  99.999  99.999  99.999  99.999  10.036   9.999   9.962   9.749   9.713   9.635   9.553  A0 Ia                           
Sk -71 14           077.412125  -71.400612   9.929  10.648  10.420  11.864  10.306  10.218  10.155  10.076  10.010  10.000   9.975  A0 Ia                           
LH41-3              079.499710  -69.270729  11.757  12.149  11.861  99.999  11.967  11.951  11.912  11.852  11.795  11.796  11.866  A2 I                            
Sk -69 99           079.625709  -69.220581  99.999  99.999  99.999  99.999  11.597  11.555  11.574  11.478  11.409  11.413  11.423  A0 I                            
Sk -69 113          080.343330  -69.452247  99.999  99.999  99.999  99.999  10.435  10.369  10.336  10.208  10.175  10.152  10.100  A1 Ia                           
NGC2004-006         082.505081  -67.243576  99.999  99.999  99.999  99.999  11.712  11.676  11.636  11.568  11.518  11.496  11.514  A2 Iab                          
NGC2004-001         082.529457  -67.262032  10.365  12.979  11.360  99.999  11.283  11.253  11.217  11.159  11.129  11.101  11.063  A1 Ia                           
NGC2004-040         082.530289  -67.239799  14.865  14.730  14.529  14.293  13.959  13.896  13.881  13.769  13.785  13.801  13.809  A7 II                           
NGC2004-002         082.803413  -67.252220  99.999  99.999  99.999  99.999  11.367  11.317  11.296  11.210  11.198  11.136  11.142  A3: Iab                         
NGC2004-009         082.970749  -67.204277  12.283  12.594  12.576  99.999  12.332  12.320  12.317  12.152  12.181  12.176  12.274  A1 Iab                          
Sk -68 131          084.134918  -68.900474  99.999  99.999  99.999  99.999   9.466   9.311   9.217   9.045   8.977   8.927   8.873  A9 Ia                           
LH101-5-76          084.712875  -69.498024  99.999  99.999  99.999  99.999   9.875   9.761   9.643   9.498   9.411   9.346   9.275  A0 Iae                          
Parker1775          084.736610  -69.144752  15.210  14.990  14.803  16.746  99.999  99.999  99.999  13.345  13.324  13.511  99.999  A I           
