Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

Sk -69 1            071.386543  -69.467003  12.343  13.364  13.446  13.538  13.623  13.667  13.655  13.711  13.711  13.737  13.749  B1 III                          
Sk -67 2            071.768539  -67.114746  10.351  11.219  11.035  10.992  11.019  11.003  10.917  10.804  10.744  10.712  10.648  B1 Ia+                          
Sk -69 8            072.329376  -69.431831  10.838  11.714  11.572  11.461  11.288  11.208  11.187  11.100  11.052  11.031  11.023  B5 Ia                           
Sk -70 2            072.491707  -70.350777  12.893  13.584  13.576  13.519  13.435  13.426  13.435  13.397  13.238  13.045  99.999  B5 II                           
Sk -67 6            072.878082  -67.473000  12.333  13.424  13.636  13.712  13.978  14.090  14.138  14.147  14.156  14.131  14.070  B0 II                           
Sk -66 1            073.079544  -66.731476  10.709  11.455  11.635  11.482  11.656  11.627  11.665  11.521  11.503  11.437  11.423  B1.5 Ia                         
BI 7                073.126121  -70.039528  13.113  14.044  14.182  14.266  14.349  14.355  14.465  14.446  14.462  14.306  99.999  B1 III                          
Sk -66 2            073.213333  -66.507637  12.516  13.122  13.171  13.743  13.188  13.235  13.231  13.210  13.192  13.260  13.275  B2 III                          
Sk -68 7            073.362167  -68.499771  11.963  12.934  13.026  12.959  13.086  13.103  13.087  13.071  13.083  13.090  13.071  B0.5 I                          
Sk -66 5            073.375122  -66.924499  99.999  99.999  99.999  99.999  10.797  10.808  10.810  10.725  10.685  10.628  10.624  B2.5 Ia                         
Sk -66 5a           073.390541  -66.902084  12.652  13.207  13.286  13.262  13.350  13.377  13.382  13.405  13.339  13.360  99.999  B3 II                           
Sk -66 6            073.395622  -66.937973  11.779  12.507  12.712  12.740  12.982  13.006  13.053  12.971  12.966  12.930  13.021  B0.7 II                         
Sk -68 8            073.430336  -68.714806  10.195  11.044  10.986  10.970  10.857  10.869  10.782  10.611  10.615  10.537  10.513  B5 Ia+                          
LH5-25              073.487831  -69.210243  12.922  13.749  13.789  13.839  13.848  13.849  13.849  13.816  13.801  13.485  99.999  B1 III                          
Sk -65 1            073.527336  -65.589561  11.658  12.420  12.554  12.671  12.762  12.798  12.817  12.790  12.827  12.687  12.728  B0.5 I                          
Sk -67 14           073.632874  -67.256836  10.616  11.376  11.541  11.599  11.784  11.779  11.799  11.772  11.713  11.661  11.622  B1.5 Ia                         
Sk -66 10           073.700539  -66.373138  13.025  13.475  13.502  13.526  13.473  13.443  13.463  13.414  13.426  13.376  99.999  B3 II                           
BI 23               073.732628  -68.362335  13.133  14.018  14.087  14.261  14.345  14.448  14.499  14.491  14.415  14.341  99.999  B0 II                           
Sk -66 12           073.738960  -66.752441  10.226  10.902  10.770  10.564  10.615  10.580  10.498  10.471  10.412  10.402  10.351  B8 Ia                           
Sk -67 16           073.790581  -67.527367  12.403  13.424  13.556  13.614  13.784  13.846  13.897  13.966  13.970  13.992  13.994  B2 II                           
Sk -66 14           073.815872  -66.810089  12.286  12.980  13.304  13.508  13.711  13.799  13.873  13.934  13.924  13.955  13.832  B1 Ib                           
N11-097             073.823586  -66.459938  14.516  14.994  14.961  14.789  14.615  14.543  14.488  14.550  14.526  14.306  99.999  B3 II                           
