Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

BI 28               073.894669  -69.809753  13.456  14.318  14.413  14.596  14.643  14.737  14.804  14.799  14.805  14.576  99.999  B1 V                                    
N11-072             073.965126  -66.365974  13.563  14.435  14.565  14.841  14.973  15.012  15.226  15.162  15.311  99.999  99.999  B0.2 V                          
N11-104             073.980125  -66.365891  14.222  14.850  15.218  99.999  15.237  15.404  15.342  15.489  15.523  99.999  99.999  B1.5 V                          
N11-084             074.038330  -66.452354  13.874  14.614  14.821  14.949  99.999  99.999  99.999  14.969  15.240  99.999  99.999  B0.5 V                                     
N11-101             074.158836  -66.398384  13.937  14.803  14.826  14.868  14.903  14.913  99.999  14.845  99.999  99.999  99.999  B0.2 V                          
N11-085             074.163917  -66.483055  13.944  14.665  14.900  15.027  15.143  15.100  15.134  15.222  15.327  99.999  99.999  B0.5 V                          
1303                074.169670  -66.491913  13.563  14.399  14.518  14.665  14.691  14.756  14.796  14.767  14.723  14.826  99.999  B0.5: V                         
1310                074.171081  -66.461105  11.925  12.707  12.937  12.654  13.235  13.270  13.324  13.337  13.312  13.236  99.999  B0 V                            
1321                074.175247  -66.476669  14.641  15.582  15.639  15.248  15.405  15.288  14.879  14.799  14.391  13.985  13.677  B1: V                           
N11-106             074.175331  -66.521950  13.953  14.803  14.878  15.103  15.184  15.280  15.245  15.127  15.182  99.999  99.999  B0 V                            
1342                074.181793  -66.489861  13.909  14.728  14.826  14.963  15.015  15.009  14.917  14.838  14.642  14.748  99.999  B0 V                            
N11-086             074.182045  -66.476669  13.916  14.562  14.840  14.962  15.065  15.212  15.168  15.185  15.343  99.999  99.999  B1 V                                       
N11-121             074.185501  -66.500916  14.536  15.109  15.624  15.305  15.448  15.480  15.455  15.413  15.448  99.999  99.999  B1 Vn                           
1350                074.185623  -66.484970  14.429  15.218  15.442  15.653  15.705  15.841  15.955  15.853  15.978  99.999  99.999  B1: V:                          
3090                074.185913  -66.415779  12.522  14.311  13.303  13.764  14.541  14.627  14.729  14.764  14.810  99.999  99.999  B0: V                           
1357                074.187294  -66.470917  14.021  14.799  15.054  15.223  15.467  15.538  15.534  15.667  15.762  99.999  99.999  B0 V                            
N11-105             074.193207  -66.454636  13.981  14.779  14.970  15.084  15.261  15.253  15.441  15.430  15.438  99.999  99.999  B1 V                            
Sk -65 2            074.214706  -65.519005  11.890  12.507  12.653  13.001  13.160  13.200  13.287  13.188  13.190  13.155  13.130  B1 V                            
1454                074.221291  -66.463882  13.299  14.064  14.306  14.419  14.578  14.620  14.736  14.777  14.795  14.850  99.999  B0.5 V                                   
N11-083             074.250999  -66.537857  13.773  14.564  14.734  14.861  14.919  14.973  15.040  15.055  15.106  99.999  99.999  B0.5 V                                          
N11-100             074.338371  -66.417000  99.999  14.783  15.011  15.075  15.185  15.321  15.271  15.231  15.225  99.999  99.999  B0.5 V                          
N11-117             074.435249  -66.399772  14.342  15.073  15.224  15.387  15.546  15.549  15.776  15.618  15.719  99.999  99.999  B1 Vn                           
BI 66               076.256500  -67.174385  12.939  14.291  13.959  13.883  13.869  13.774  13.628  13.272  13.043  12.814  12.581  B1 V                            
