Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

LH31-1002           077.496086  -68.917305  11.713  12.794  12.956  99.999  13.207  13.255  13.285  13.248  13.239  13.387  99.999  F2 I                            
LH41-22             079.633247  -69.241165  14.603  14.114  13.516  12.501  12.290  11.993  11.923  11.782  11.767  11.766  99.999  F5 I                            
LH48-121A           080.597000  -67.899246  13.154  11.299  11.569  11.164  10.685  10.408  10.284  10.140  10.099  10.048  10.038  F Ie                            
Sk -68 128          084.042000  -68.928139  99.999  99.999  99.999  99.999   9.309   9.115   8.994   8.850   8.776   8.758   8.722  F3 Ia   
Sk -69 30           073.559372  -69.210136  15.702  11.662  10.157  99.999   8.020   7.635   7.448   7.204   7.548   7.248   7.294  G5 Ia 
131735              080.892044  -69.318611  16.143  14.544  12.706  10.863   9.832   9.135   8.898   8.712   8.832   8.711   8.613  K7 I                            
139027              081.915497  -69.150307  13.123  13.334  12.186  99.999   9.056   8.253   7.970   7.698   7.912   7.701   7.591  K7 I                            
141377              082.116707  -69.215889  14.093  12.594  10.986  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  K0 I                            
142102              082.180252  -67.307922  16.613  14.784  12.896  99.999   9.613   8.822   8.582   8.337   8.571   8.317   8.100  K7 I                            
143877              082.337914  -68.792084  99.999  99.999  99.999  99.999   8.954   8.248   7.974   7.790   7.920   7.659   7.405  K7 I                            
146126              082.509834  -67.045830  14.883  13.024  11.226  99.999   8.755   8.162   7.974   7.640   7.733   7.491   7.278  K5 I                            
146244              082.519295  -68.791359  17.093  14.894  12.976  99.999   9.804   9.032   8.769   8.579   8.797   8.578   8.396  K7 I                            
146266              082.520790  -69.066643  99.999  99.999  99.999  99.999   9.900   9.075   8.808   8.611   8.768   8.546   8.286  K7 I                                                    
147928              082.639793  -67.287613  14.003  13.734  12.436  99.999   9.215   8.393   8.121   8.014   8.115   7.931   7.826  K7 I                                                    
157533              083.373627  -67.527229  16.562  14.714  13.216  99.999   9.949   9.151   8.825   8.656   8.797   8.660   8.585  K5 I                                                    
163007              083.886833  -69.071831  14.933  14.634  13.126  99.999   9.449   8.567   8.197   7.942   8.094   7.902   7.790  K7 I                            
165543              084.112122  -69.397415  13.213  12.654  11.036  99.999   8.482   8.039   7.811   7.622   7.619   7.212   6.607  K0 I                            
166155              084.169167  -69.387886  17.118  14.504  12.996  99.999   9.872   9.061   8.812   8.518   8.549   8.277   7.899  K7 I                                                  
