Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

N11-019             074.048836  -66.533089  12.121  12.961  13.208  13.441  13.498  13.540  13.551  13.579  13.623  13.644  99.999  O8-9 V-III((f)) Binary (SB2)    
N11-049             074.123291  -66.472359  12.994  13.821  14.035  14.247  14.394  14.506  14.589  14.568  14.570  14.669  99.999  O7.5 V Binary (SB1)                        
N11-059             074.129250  -66.477997  13.188  14.012  14.194  14.443  14.596  14.672  14.660  14.728  14.718  14.608  99.999  O9 V Binary (SB1)
N11-013             074.253586  -66.406891  11.998  12.768  12.896  12.663  13.080  13.143  13.175  13.188  13.205  13.251  99.999  O8 V Binary (SB2)               
N11-091             074.255501  -66.336945  13.941  14.759  14.747  14.858  14.929  14.895  14.835  14.838  14.663  99.999  99.999  O9 V Binary 
N11-071             074.350792  -66.433334  13.642  14.466  14.618  14.725  14.886  14.935  14.965  15.127  15.106  99.999  99.999  O8: V Binary (SB2)
N11-063             074.418877  -66.456970  13.139  14.040  14.118  14.183  14.474  14.461  14.464  14.355  14.367  13.270  99.999  O9: Vn Binary (SB2)
N11-046             074.185913  -66.572357  12.874  13.850  13.856  14.109  14.283  14.340  14.418  14.383  14.377  99.999  99.999  O9.5 V Binary     
HV2543              081.864128  -67.198471  11.913  13.014  13.206  13.055  13.840  13.902  13.941  13.296  13.267  13.279  13.289  O9 III-II + O8 V:  
MACHO1.4539.37      077.117081  -68.807228  13.209  14.386  14.323  14.814  14.790  14.968  15.032  14.973  14.917  14.818  99.999  O8.5 V + O9 V 
MACHO78.6097.13     079.519585  -69.805282  13.566  14.658  14.698  14.901  14.862  14.842  14.885  14.889  14.922  99.999  99.999  O9 V + O9 V   
N11-011             073.981247  -66.472305  11.920  12.738  12.938  12.945  13.172  13.264  13.263  13.225  13.213  13.268  13.293  OC9.5 II Binary (SB1)
N11-035             074.369583  -66.517334  13.025  13.732  13.755  13.516  13.371  13.319  13.351  13.160  13.166  13.048  99.999  O9 II(f) Binary (SB1)    
N11-020             074.209663  -66.517670  12.177  13.019  13.178  13.198  13.239  13.201  13.201  13.181  13.094  13.005  13.054  O5 I(n)fp Binary                
N11-041             074.218002  -66.547912  12.881  13.742  13.896  13.953  14.034  14.078  14.086  14.045  14.003  14.026  99.999  O6.5 Iaf Binary 
HV2543              081.864128  -67.198471  11.913  13.014  13.206  13.055  13.840  13.902  13.941  13.296  13.267  13.279  13.289  O9 III-II + O8 V:   
MACHO81.8763.8      083.672081  -69.527504  12.739  13.672  14.050  13.966  13.855  13.900  13.916  13.888  13.813  13.568  99.999  O3 If* + O6:V 
Sk -71 51           085.415123  -71.332306  11.621  12.467  12.390  12.778  13.040  13.146  13.104  13.139  13.063  12.928  12.794  O2 V((f*))+OB
LH10-3209           074.245834  -66.410561  11.374  11.935  11.859  11.281  12.404  12.498  12.422  12.496  12.395  12.241  99.999  O2-3 III(f*) + OB               
N11-043             074.254417  -66.474945  12.927  13.754  14.015  14.149  14.375  14.462  14.431  14.525  14.558  14.526  99.999  O7 III + B0: Binary (SB2)  
Sk -69 59           075.802917  -69.026947  11.218  11.812  12.166  12.443  12.332  12.344  12.388  12.396  12.373  12.310  12.213  O(f) +B1 I?  
