Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

Sk -70 1a           071.864998  -70.562698  12.693  13.654  13.716  13.685  13.713  13.711  13.714  13.723  13.743  13.731  99.999  O9 II                           
Sk -69 9            072.464211  -69.201195  11.645  12.083  12.423  12.431  12.718  12.771  12.827  12.811  12.811  12.687  99.999  O6.5 III                        
Sk -67 4            072.466415  -67.687469  11.843  12.914  13.076  13.079  13.393  13.438  13.478  13.508  13.504  13.566  13.545  O9 Ib                           
Sk -67 5            072.578834  -67.660561  10.244  11.115  11.377  11.322  11.578  11.610  11.619  11.606  11.565  11.553  11.501  O9.7 Ib                         
LH2-23              072.946045  -69.317864  12.413  13.324  13.156  13.430  13.414  13.255  13.232  99.999  13.568  13.758  99.999  O9.7 Ib                         
LH2-142             073.038002  -69.343254  12.293  13.314  13.466  13.722  13.843  13.875  13.913  13.918  13.880  14.022  99.999  O7 II:                          
LH2-223             073.075920  -69.336586  11.803  12.804  12.946  12.950  13.077  13.117  13.148  13.132  13.104  13.034  99.999  O8 II((f))                      
BI 9                073.199539  -68.794113  12.493  13.534  13.756  13.826  13.970  14.043  14.070  14.123  14.139  14.201  99.999  O7.5 III((f))                   
Sk -67 9a           073.269875  -67.133415  12.639  13.798  13.637  13.802  13.919  13.965  14.027  14.029  13.965  14.003  99.999  O9 III                          
Sk -69 29           073.559418  -69.253692  11.803  12.814  12.946  12.945  12.980  13.004  13.056  13.039  12.975  12.986  13.023  O9 I                            
BI 24               073.773872  -66.532501  12.267  13.012  13.280  13.509  99.999  99.999  99.999  13.731  13.648  13.492  99.999  O7 III                          
N11-004             073.872581  -66.386665  11.605  12.361  12.461  11.908  12.765  12.822  12.817  12.770  12.811  12.741  99.999  O9.7 Ib                                
N11-022             074.003754  -66.437889  12.309  13.191  13.327  13.454  13.500  13.561  13.576  13.538  13.565  13.548  13.506  O6.5 II(f)                      
N11-007             074.072044  -66.517670  11.719  12.591  12.638  12.852  13.030  13.071  13.209  13.104  13.094  13.130  13.154  O8 Ib (f)                       
1194                074.142670  -66.481171  13.204  14.046  14.215  14.256  14.229  14.203  14.043  13.674  13.513  13.345  13.026  O9.5: IV                        
1292                074.164040  -66.491524  14.699  15.524  15.507  14.847  13.918  13.097  12.838  12.662  12.771  12.714  99.999  O9: III:                        
3045                074.166039  -66.415085  14.158  15.005  14.838  15.211  15.432  15.514  15.462  15.533  15.691  99.999  99.999  O9.5 III                        
N11-031             074.177040  -66.421661  12.699  13.595  13.491  13.405  13.561  13.614  13.389  13.414  13.481  13.370  99.999  ON2 III (f)                     
N11-038             074.188377  -66.419609  13.007  13.736  13.648  13.547  13.721  13.643  99.999  13.657  13.718  13.682  99.999  O5 III(f+)                      
1363                074.188873  -66.493637  11.768  12.585  12.766  12.031  12.831  12.856  12.822  12.785  12.711  12.697  12.544  O8.5 Iaf                        
1388                074.196625  -66.482170  11.364  12.158  12.450  99.999  12.504  12.535  12.540  12.418  12.411  12.334  99.999  O9.7 Iab                                       
N11-026             074.218918  -66.332169  12.646  13.405  13.580  99.999  13.734  13.773  13.803  13.799  13.801  13.849  99.999  O2.5 III(f)                     
