Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

LH2-81              073.002747  -69.347145  14.335  15.597  15.513  15.375  15.309  15.236  15.179  15.185  15.041  99.999  99.999  O6 V                            
LH2-96              073.010002  -69.342583  13.329  14.611  14.789  14.753  14.912  14.864  14.942  14.728  14.558  99.999  99.999  O7.5 Vz                         
LH2-180             073.049499  -69.340340  13.425  14.518  14.600  14.713  14.814  14.878  14.912  14.962  14.852  99.999  99.999  O9.5 V                          
LH2-250             073.088913  -69.341499  12.926  13.974  14.152  14.143  14.210  14.221  14.186  14.176  14.170  14.061  99.999  O7 V                            
BI 13               073.277084  -68.056335  12.663  13.725  13.796  14.112  14.343  14.488  14.564  14.592  14.603  99.999  99.999  O6.5 V                          
Sk -70 13           073.504837  -69.996521  11.163  12.204  12.346  12.172  12.708  12.824  12.882  12.853  12.811  12.764  12.794  O9 V                            
Sk -69 25           073.515289  -69.199059  10.993  12.054  11.886  12.230  12.866  12.872  12.806  13.033  99.999  99.999  99.999  O6 V((f))                       
N11-058             073.968124  -66.570389  13.090  13.953  14.197  14.422  14.592  14.674  14.716  14.780  14.805  14.936  99.999  O5.5 V((f))                     
Sk -66 18           073.999206  -65.974915  12.394  13.294  13.467  13.725  13.951  14.051  14.061  14.116  14.094  14.166  99.999  O6 V((f))                       
N11-068             074.019211  -66.399384  13.496  14.377  14.545  14.657  14.802  14.886  14.988  14.992  14.986  99.999  99.999  O7 V((f))                        
N11-122             074.119835  -66.479752  14.223  15.074  15.295  15.561  15.696  15.749  15.793  15.970  16.035  99.999  99.999  O9.5 V                                    
N11-051             074.123833  -66.360695  12.909  13.812  13.990  14.173  14.333  14.401  14.528  14.503  14.542  14.336  99.999  O5 Vn((f))                                 
1200                074.143669  -66.489304  12.903  13.888  13.852  13.657  13.380  13.263  13.049  12.648  12.486  12.302  99.999  O6:: V:p                        
3016                074.145790  -66.422302  13.738  14.682  14.589  14.998  15.180  15.257  15.315  15.246  15.225  99.999  99.999  O9.5: V                         
1239                074.151291  -66.490471  13.528  14.378  14.501  14.717  14.878  14.924  15.009  15.015  14.922  15.019  99.999  O7-O8: V:                       
1288                074.163086  -66.481781  14.309  15.111  15.310  15.544  15.681  15.824  15.963  15.862  15.887  99.999  99.999  O9 V                            
N11-087             074.163254  -66.413887  13.590  14.514  14.461  14.708  14.946  15.046  15.009  14.767  14.826  99.999  99.999  O9.5 Vn                         
N11-060             074.175667  -66.415115  12.901  14.092  14.089  13.991  14.176  14.232  14.206  14.160  14.131  99.999  99.999  O3 V((f))                       
3070                074.180420  -66.417274  11.057  12.335  11.728  10.944  12.366  12.443  12.415  99.999  12.560  12.226  99.999  O6 V                            
3073                074.180794  -66.415085  12.895  14.734  13.868  14.181  14.568  14.554  14.513  14.614  14.695  99.999  99.999  O6.5 V                                           
1365                074.189125  -66.475387  14.179  14.944  15.201  15.419  15.618  15.733  15.753  15.667  15.726  99.999  99.999  O9 V                            
3102                074.189209  -66.412834  12.601  13.319  13.416  13.502  13.672  13.684  13.742  13.776  13.669  13.561  99.999  O7 V ZAMS                       
3115                074.193962  -66.414337  14.103  14.942  14.771  15.005  15.061  15.075  15.040  15.326  15.233  99.999  99.999  O9 V                            
