Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

BAT99-8             074.012001  -69.455971  13.441  14.188  14.238  14.514  14.342  14.249  13.653  13.568  13.137  12.923  12.581  WC4                             
BAT99-9             074.046211  -66.292496  13.704  14.295  14.325  14.618  14.400  14.252  13.798  14.048  13.104  13.033  12.645  WC4                                   
BAT99-52            082.550667  -67.435638  12.853  13.324  13.556  13.856  13.742  13.677  13.131  13.020  12.619  12.491  12.171  WC4                             
BAT99-53            082.661247  -71.029945  12.319  12.983  12.963  13.413  13.401  13.411  13.164  13.345  12.985  12.777  12.547  WC4 (+OB)                       
BAT99-61            083.580170  -69.752861  12.807  12.974  13.120  13.490  13.291  13.260  12.686  12.439  12.003  11.888  11.514  WC4                             
BAT99-69            083.925900  -69.198000  99.999  99.999  99.999  99.999  99.999  99.999  99.999  11.171  10.678  10.531  99.999  WC4                             
BAT99-70            083.931206  -69.182777  14.169  14.242  13.962  13.768  13.273  13.056  99.999  12.043  11.639  11.542  11.207  WC4 (+OB)                       
BAT99-84            084.214081  -69.432411  12.023  12.814  12.986  13.605  13.251  13.329  12.958  12.806  12.560  12.436  12.156  WC4(+OB)                        
BAT99-85            084.227333  -69.193863  14.523  11.148  12.183  11.680  99.999  99.999  99.999  12.312  12.129  11.996  11.622  WC4 (+OB)                       
BAT99-87            084.371834  -69.346527  12.862  13.975  13.686  14.140  14.078  13.990  13.876  13.589  13.310  13.059  99.999  WC4 +OB                         
BAT99-90            084.435997  -69.240471  14.413  14.772  14.628  14.761  14.382  14.179  13.571  13.379  12.903  12.717  99.999  WC4                             
BAT99-121           084.765800  -69.062800  16.190  15.895  15.834  15.533  14.940  14.375  13.594  13.071  12.675  99.999  99.999  WC4                             
BAT99-125           084.983795  -69.406754  12.073  12.894  12.996  13.150  13.242  13.098  12.691  12.396  11.977  11.715  11.454  WC4(+OB) 
BAT99-34            080.791916  -71.347473  11.732  12.445  12.657  12.960  13.111  13.212  12.947  12.751  12.457  12.302  12.069  WC4 +OB                        
