Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

BAT99-1             071.384376  -70.253029  15.001  15.647  15.778  15.643  15.288  15.114  14.790  14.121  13.618  13.437  12.996  WN3b                            
BAT99-2             072.400900  -69.348400  15.633  16.495  16.579  16.447  16.065  15.867  15.552  14.918  14.511  14.461  99.999  WN2b(h)                         
BAT99-3             073.239128  -66.687088  13.793  14.531  14.640  14.527  14.233  14.070  13.808  13.345  12.877  12.743  12.421  WN4b                            
BAT99-5             073.616900  -69.213900  15.957  16.715  16.742  16.363  15.871  15.589  15.217  14.540  14.142  13.720  13.408  WN2b                            
BAT99-7             073.880623  -67.500748  12.893  13.584  13.846  13.512  13.244  13.105  12.825  12.225  11.678  11.553  11.085  WN4b                            
BAT99-13            074.420997  -66.545166  12.191  12.852  12.851  11.781  12.107  11.832  11.550  10.998  10.615  10.431  10.074  WN10                                                
BAT99-15            074.964790  -67.948723  13.658  14.250  14.542  14.426  14.118  14.029  13.662  13.218  12.733  12.630  12.199  WN4b                            
BAT99-17            076.051376  -70.065391  13.183  14.085  14.170  14.108  13.949  13.844  13.571  12.919  12.580  12.350  12.144  WN4o                            
BAT99-18            076.285126  -70.379196  13.572  14.452  14.669  14.714  14.617  14.468  14.341  13.870  13.502  13.351  12.978  WN3(h)                                        
BAT99-21            078.432373  -67.374832  12.144  13.002  13.161  13.271  13.336  13.329  13.209  13.001  12.748  12.641  12.349  WN4o(+OB)                       
BAT99-22            078.476127  -69.529640  11.429  11.881  12.041  10.429   9.405   8.538   8.122   7.605   7.486   7.155   6.442  WN9h                            
BAT99-24            078.552872  -69.323944  13.668  14.101  14.292  14.150  13.840  13.669  13.375  12.826  12.346  12.190  11.716  WN4b                            
BAT99-26            079.161835  -69.278030  13.791  14.388  14.598  14.336  13.827  13.517  13.372  13.146  13.053  12.831  99.999  WN4b                                            
BAT99-30            080.490417  -65.816750  12.395  13.062  13.302  13.295  13.235  13.124  12.940  12.531  12.227  12.063  11.716  WN6h                            
BAT99-31            080.518100  -67.985100  14.589  15.326  15.207  14.993  14.497  14.323  13.968  13.423  12.948  12.941  99.999  WN4b SB?                        
BAT99-32            080.593872  -71.599472  11.583  12.337  12.299  12.602  12.590  12.456  12.289  11.872  11.530  11.385  10.993  WN6(h) SB                       
BAT99-35            080.825043  -65.949165  13.870  14.624  14.876  14.929  14.665  14.565  14.335  13.861  13.480  13.360  13.002  WN3(h)                                           
BAT99-37            081.226200  -66.236400  16.080  16.545  16.328  15.915  15.162  14.857  14.538  13.998  13.530  13.451  99.999  WN3o                            
BAT99-41            081.677414  -69.115944  14.308  14.560  14.809  14.589  14.287  14.107  13.839  13.280  12.827  12.722  12.356  WN4b                                              
BAT99-44            081.927872  -69.166779  12.243  13.264  13.426  13.287  13.303  13.166  13.030  12.648  12.321  12.241  11.866  WN8ha                           
BAT99-45            081.969414  -68.985687  12.206  11.199  12.597  11.234  99.999  99.999  99.999  99.999  99.999  99.999  99.999  WN10h LBV                       
BAT99-47            082.301544  -68.760025  14.391  15.104  15.295  15.222  14.885  14.791  14.387  13.947  13.496  13.451  12.962  WN3b                            
